method,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
PD,1.4137166941154071,8.0,0.0,0.41471778961497135,0.02679386524000991
PD,1.4451326206513049,8.0,0.0,0.27011776857574105,0.01356950650437473
PD,1.476548547187203,8.0,0.0,0.3792426887804583,0.019705331081563998
PD,1.5079644737231008,8.0,0.0,0.28428664134143206,0.007576572210404481
PD,1.5393804002589988,8.069694507328697,11.109419625656153,0.45305595867843684,0.02554591250299595
PD,1.5707963267948968,8.0,0.0,0.3845396185585499,0.021231479766585546
HFDC,0.031415926535897934,0.02299303268439729,3.579847482799075e-05,0.0035284004259843417,1.1157568005329835e-07
HFDC,0.06283185307179587,0.03570548142943449,0.0006362981024928934,0.0035239685346350785,1.014960920343532e-07
HFDC,0.0942477796076938,0.035101540623734585,0.0013722743202224314,0.0035272343884880488,9.541080703712684e-08
HFDC,0.12566370614359174,0.05489342200226627,0.0025554480058687296,0.00353412325556163,9.493078080845119e-08
HFDC,0.15707963267948966,0.058464703277008465,0.003946974860283205,0.0035484673989093435,1.0498471157659014e-07
HFDC,0.1884955592153876,0.07519903715043567,0.00562007850058642,0.003567208022682819,1.3285637542227765e-07
HFDC,0.21991148575128552,0.08053032201594801,0.007704829729511491,0.0035916842208239663,1.853589885231259e-07
HFDC,0.25132741228718347,0.09648169517287049,0.010051167362877613,0.0036218256444498944,2.6945353590520434e-07
HFDC,0.2827433388230814,0.10388885667797887,0.013072992853037006,0.003655159740618159,3.900294057559563e-07
HFDC,0.3141592653589793,0.11993009248241271,0.016361816136852725,0.0036959467645145917,5.54032443834782e-07
HFDC,0.3455751918948773,0.12752713778078342,0.020167412493631284,0.0037371830175234053,7.647062118253906e-07
HFDC,0.3769911184307752,0.14176525930578482,0.024163973210679847,0.0037880305416743702,1.0287402507341812e-06
HFDC,0.40840704496667324,0.14873407792194193,0.028269029400696588,0.0038366660038258163,1.3492584422982676e-06
HFDC,0.43982297150257105,0.16181627109950852,0.03284695093601225,0.0038977363181712655,1.7342792773061727e-06
